Quantity,Discount,Sales,Category_Office Supplies,Category_Technology,Segment_Corporate,Segment_Home Office
6,0.0,208.56,True,False,False,False
5,0.0,32.4,True,False,False,False
5,0.1,319.41,False,False,False,False
2,0.0,14.56,True,False,False,False
2,0.0,30.0,False,True,False,False
4,0.2,48.48,True,False,False,False
1,0.0,1.68,True,False,False,False
2,0.0,13.98,False,True,False,False
6,0.2,25.824,True,False,False,False
3,0.0,146.73,True,False,False,False
4,0.0,79.76,False,False,False,False
5,0.3,213.115,False,False,False,True
8,0.2,1113.024,True,False,True,False
4,0.2,167.968,False,True,True,False
2,0.0,75.88,True,False,False,False
1,0.2,4.616,True,False,False,False
3,0.0,19.05,True,False,False,False
8,0.2,831.936,False,False,False,False
2,0.2,97.04,False,False,False,False
1,0.2,72.784,True,False,False,False
3,0.8,1.248,True,False,True,False
3,0.6,9.708,False,False,True,False
3,0.2,27.24,True,False,True,False
5,0.6,19.3,False,False,False,False
1,0.0,208.16,True,False,True,False
3,0.0,16.74,True,False,True,False
5,0.0,14.9,True,False,False,False
1,0.0,21.39,True,False,False,False
7,0.2,200.984,True,False,True,False
3,0.2,230.376,True,False,False,True
2,0.0,301.96,False,False,False,False
1,0.0,19.99,False,True,False,False
2,0.0,6.16,True,False,False,False
7,0.2,158.368,True,False,False,True
3,0.0,20.1,True,False,True,False
2,0.2,73.584,False,True,True,False
1,0.0,6.48,True,False,True,False
2,0.0,12.96,True,False,False,False
3,0.0,53.34,False,False,False,False
2,0.0,32.96,True,False,False,False
1,0.7,5.682,True,False,False,True
7,0.0,96.53,False,False,False,True
3,0.2,51.312,True,False,False,False
6,0.0,77.88,True,False,True,False
7,0.2,64.624,True,False,False,True
3,0.2,95.976,False,True,False,True
3,0.8,1.788,True,False,False,True
4,0.0,23.92,True,False,False,False
6,0.2,238.896,False,True,False,False
3,0.2,102.36,False,False,False,False
3,0.7,36.882,True,False,False,False
8,0.2,74.112,False,True,False,False
1,0.2,27.992,False,True,False,False
1,0.2,3.304,True,False,False,False
5,0.2,339.96,False,True,False,True
2,0.0,41.96,False,False,True,False
2,0.0,75.96,True,False,False,False
6,0.0,27.24,True,False,False,False
14,0.2,40.096,True,False,False,False
2,0.2,4.72,True,False,False,False
3,0.2,23.976,True,False,False,False
6,0.2,130.464,True,False,False,False
3,0.0,787.53,False,False,False,False
1,0.7,157.794,True,False,True,False
3,0.0,47.04,False,False,False,False
4,0.0,30.84,True,False,False,False
6,0.0,226.56,True,False,False,False
9,0.0,115.02,True,False,False,False
7,0.0,68.04,False,True,False,False
3,0.3,600.558,False,False,False,True
6,0.5,617.7,False,False,False,False
2,0.7,2.388,True,False,False,False
7,0.2,243.992,True,False,False,False
2,0.2,81.424,False,False,False,True
3,0.0,238.56,False,False,False,True
5,0.4,59.97,False,True,True,False
2,0.2,78.304,True,False,True,False
9,0.2,21.456,True,False,True,False
3,0.0,20.04,True,False,False,False
1,0.0,35.44,True,False,False,False
4,0.0,11.52,True,False,False,False
2,0.0,4.02,True,False,False,False
3,0.2,76.176,True,False,False,False
6,0.0,65.88,True,False,False,False
14,0.0,43.12,False,False,False,False
2,0.2,82.8,False,False,True,False
3,0.0,8.82,True,False,True,False
3,0.0,10.86,True,False,True,False
3,0.0,143.7,True,False,True,False
3,0.0,839.43,True,False,False,False
7,0.0,671.93,True,False,False,False
4,0.2,93.888,False,False,False,True
11,0.0,384.45,False,True,True,False
3,0.0,149.97,False,True,True,False
8,0.0,1951.84,False,False,True,False
5,0.0,171.55,True,False,True,False
5,0.2,157.92,True,False,False,True
2,0.2,203.184,False,True,False,True
7,0.0,58.38,True,False,True,False
4,0.0,105.52,True,False,True,False
6,0.0,80.88,True,False,True,False
3,0.0,6.63,True,False,False,True
2,0.2,457.568,False,False,False,False
2,0.0,14.62,True,False,False,False
7,0.0,944.93,False,True,False,False
1,0.0,5.98,True,False,False,False
2,0.2,54.384,False,True,False,False
5,0.0,28.4,True,False,False,False
2,0.2,27.68,True,False,False,False
3,0.2,9.936,True,False,False,False
8,0.4,8159.952,False,True,False,False
3,0.2,275.928,True,False,False,False
9,0.3,1740.06,False,False,False,False
6,0.2,32.064,True,False,False,False
5,0.8,177.98,True,False,False,False
3,0.2,143.976,False,True,False,False
3,0.0,20.94,True,False,False,False
2,0.0,110.96,True,False,False,False
7,0.2,340.144,False,False,False,False
2,0.8,52.448,True,False,True,False
4,0.2,20.16,True,False,True,False
4,0.8,97.264,True,False,False,False
7,0.3,396.802,False,False,False,False
5,0.2,15.88,True,False,False,False
1,0.0,3.28,True,False,False,True
2,0.2,24.816,True,False,True,False
7,0.2,408.744,False,True,True,False
4,0.0,503.96,False,True,False,True
5,0.0,149.95,False,True,False,True
2,0.0,29.0,False,True,False,True
2,0.0,7.16,True,False,False,False
8,0.0,176.8,False,True,False,True
3,0.2,37.224,True,False,True,False
3,0.2,20.016,True,False,True,False
4,0.2,899.136,False,False,False,True
6,0.0,71.76,False,True,False,True
8,0.0,51.84,True,False,False,True
3,0.2,626.352,False,False,False,True
5,0.0,19.9,True,False,False,True
7,0.0,14.28,True,False,True,False
2,0.2,7.408,True,False,False,False
3,0.2,6.048,True,False,False,False
3,0.0,46.26,True,False,False,True
2,0.7,2.946,True,False,True,False
3,0.2,16.056,True,False,True,False
3,0.2,21.744,True,False,False,False
2,0.5,218.75,False,False,False,False
1,0.2,2.6,True,False,False,False
2,0.8,66.284,True,False,False,False
7,0.2,35.168,False,False,True,False
4,0.2,444.768,False,True,False,False
4,0.0,83.92,True,False,False,False
2,0.0,131.98,False,True,False,False
4,0.0,15.92,True,False,False,False
9,0.0,52.29,True,False,False,False
1,0.0,91.99,True,False,False,False
2,0.2,20.8,False,True,True,False
2,0.2,23.68,True,False,True,False
5,0.5,452.45,False,False,True,False
3,0.4,62.982,False,True,True,False
9,0.7,1188.0,False,True,True,False
2,0.2,89.584,False,True,True,False
6,0.0,93.06,True,False,False,False
3,0.2,302.376,False,True,False,False
2,0.2,5.584,True,False,False,False
6,0.2,22.704,True,False,False,False
4,0.7,19.776,True,False,False,False
4,0.2,72.704,False,False,False,False
4,0.7,479.988,False,True,False,False
2,0.2,27.168,True,False,False,False
1,0.0,2.2,True,False,True,False
5,0.0,622.45,False,False,True,False
1,0.0,21.98,True,False,True,False
2,0.2,161.568,False,False,False,False
8,0.2,389.696,False,False,False,False
7,0.7,18.648,True,False,True,False
2,0.45,233.86,False,False,False,True
3,0.45,620.6145,False,False,False,True
2,0.7,5.328,True,False,False,True
3,0.2,258.072,False,False,False,True
3,0.2,617.976,False,True,False,True
2,0.0,10.56,True,False,True,False
5,0.2,25.92,True,False,False,False
5,0.6,419.68,False,False,False,False
3,0.6,11.688,False,False,False,False
2,0.2,31.984,False,True,False,False
5,0.5,177.225,False,False,False,False
3,0.6,4.044,False,False,False,False
2,0.2,7.408,True,False,False,False
7,0.0,2001.86,False,False,False,True
2,0.0,166.72,True,False,False,True
6,0.0,47.88,True,False,False,True
5,0.0,1503.25,True,False,False,True
4,0.0,25.92,True,False,False,True
2,0.2,321.568,False,False,False,False
1,0.0,7.61,True,False,False,False
13,0.0,3347.37,False,True,False,False
6,0.0,80.58,True,False,False,False
4,0.0,361.92,True,False,False,False
9,0.6,12.132,False,False,True,False
2,0.2,82.368,True,False,True,False
5,0.2,53.92,True,False,True,False
6,0.2,647.904,False,True,True,False
3,0.0,20.37,False,True,False,False
3,0.0,221.55,True,False,False,False
5,0.2,17.52,True,False,False,False
2,0.8,1.624,True,False,True,False
3,0.4,3059.982,False,True,True,False
7,0.4,2519.958,False,True,True,False
4,0.2,328.224,False,True,False,False
2,0.0,79.9,False,True,False,False
3,0.2,14.016,True,False,True,False
6,0.0,7.56,True,False,False,False
1,0.2,37.208,True,False,True,False
3,0.2,57.576,True,False,True,False
4,0.0,725.84,True,False,True,False
7,0.0,209.93,False,True,False,False
3,0.0,5.28,False,False,False,False
3,0.2,10.92,True,False,False,False
2,0.0,8.82,True,False,True,False
1,0.0,5.98,True,False,True,False
2,0.2,11.648,True,False,True,False
4,0.2,18.176,True,False,True,False
6,0.2,59.712,True,False,True,False
3,0.2,24.84,True,False,True,False
5,0.8,2.08,True,False,False,False
7,0.2,1114.4,False,True,False,False
5,0.2,1038.84,False,False,False,False
5,0.2,141.76,True,False,False,False
5,0.2,239.8,False,True,False,False
6,0.2,31.104,True,False,False,False
7,0.7,254.058,True,False,True,False
2,0.2,194.528,True,False,True,False
5,0.2,961.48,True,False,True,False
7,0.2,19.096,True,False,False,True
8,0.2,18.496,True,False,False,True
2,0.2,255.984,False,True,False,True
3,0.5,86.97,False,False,False,True
8,0.2,300.416,False,False,True,False
3,0.2,230.352,False,False,True,False
3,0.2,218.352,False,False,True,False
5,0.7,78.6,True,False,True,False
3,0.2,27.552,True,False,True,False
5,0.0,32.4,True,False,True,False
8,0.0,1082.48,True,False,True,False
3,0.0,56.91,True,False,True,False
4,0.0,77.6,False,False,True,False
1,0.0,14.28,True,False,True,False
3,0.5,219.075,False,False,False,False
2,0.0,26.8,False,False,True,False
3,0.0,9.84,True,False,True,False
3,0.0,45.48,True,False,False,True
6,0.0,289.2,True,False,False,True
1,0.0,4.89,True,False,False,False
4,0.2,15.136,False,False,True,False
2,0.2,466.768,False,False,True,False
1,0.2,15.232,False,False,True,False
3,0.2,6.264,True,False,True,False
3,0.0,87.54,False,False,True,False
2,0.2,178.384,False,True,True,False
3,0.2,15.552,True,False,True,False
4,0.2,99.136,True,False,True,False
1,0.1,135.882,False,False,False,True
2,0.0,3991.98,False,True,False,True
6,0.0,275.94,False,True,False,True
4,0.0,360.0,False,True,False,True
1,0.0,43.57,True,False,False,True
2,0.0,7.16,True,False,True,False
6,0.2,251.52,True,False,True,False
1,0.0,99.99,False,True,True,False
1,0.2,15.992,False,False,True,False
3,0.4,290.898,False,True,False,False
2,0.2,54.224,True,False,False,False
4,0.3,786.744,False,False,False,False
10,0.2,100.24,True,False,False,False
6,0.7,37.764,True,False,False,False
2,0.4,82.8,False,True,False,False
2,0.7,20.724,True,False,False,False
3,0.7,4.896,True,False,False,False
1,0.2,4.752,True,False,False,False
2,0.2,959.984,False,True,False,False
4,0.2,14.368,True,False,False,False
2,0.2,7.712,True,False,True,False
3,0.2,698.352,False,False,True,False
4,0.0,4.96,True,False,False,False
4,0.2,17.856,True,False,True,False
10,0.7,509.97,True,False,True,False
13,0.2,30.992,True,False,True,False
12,0.4,71.928,False,True,True,False
4,0.2,88.8,True,False,False,False
3,0.2,47.976,False,True,False,False
3,0.0,7.56,True,False,False,False
2,0.0,24.56,True,False,False,False
2,0.0,12.96,True,False,False,False
1,0.0,6.79,False,True,False,True
2,0.0,24.56,True,False,False,True
1,0.2,3.048,True,False,False,True
4,0.0,49.12,True,False,False,True
4,0.2,4355.168,True,False,False,True
6,0.2,388.704,False,False,False,False
2,0.0,8.26,True,False,False,False
4,0.0,17.04,True,False,False,False
5,0.0,34.4,True,False,False,False
5,0.2,36.24,True,False,True,False
8,0.0,647.84,True,False,True,False
2,0.0,20.7,True,False,True,False
2,0.0,20.7,True,False,False,False
3,0.1,488.646,False,False,False,False
2,0.0,5.56,True,False,False,False
8,0.0,47.12,False,False,False,False
4,0.0,211.96,True,False,False,False
4,0.0,23.2,True,False,True,False
2,0.0,7.36,True,False,True,False
7,0.0,104.79,True,False,True,False
4,0.0,1043.92,False,False,True,False
5,0.2,25.92,True,False,False,False
3,0.2,53.424,True,False,False,False
5,0.7,8.16,True,False,False,False
8,0.2,1023.936,False,True,False,False
1,0.2,9.24,True,False,False,False
10,0.2,479.04,False,True,False,False
4,0.2,99.136,True,False,True,False
7,0.3,1488.424,False,False,True,False
3,0.8,8.652,True,False,False,False
3,0.2,23.832,True,False,False,False
4,0.8,12.176,True,False,False,False
7,0.0,50.96,True,False,True,False
3,0.2,49.536,True,False,True,False
2,0.0,41.9,False,True,True,False
3,0.45,375.4575,False,False,False,False
3,0.2,83.976,False,True,False,False
4,0.7,482.34,False,True,True,False
1,0.2,2.96,False,False,True,False
1,0.2,2.624,True,False,False,False
4,0.2,23.36,True,False,False,False
2,0.0,39.98,False,True,False,False
2,0.2,246.384,False,True,False,False
3,0.0,1799.97,False,True,False,False
3,0.8,12.462,True,False,True,False
3,0.2,75.792,True,False,False,True
2,0.0,49.96,True,False,True,False
2,0.0,12.96,True,False,True,False
4,0.0,70.12,True,False,False,True
3,0.2,35.952,True,False,False,False
4,0.32,2396.2656,False,False,False,False
4,0.2,131.136,True,False,False,False
2,0.2,57.584,False,True,False,False
2,0.2,9.568,True,False,False,False
6,0.2,39.072,True,False,True,False
3,0.0,35.91,True,False,False,False
5,0.0,179.95,False,True,False,False
3,0.2,1199.976,False,True,False,False
5,0.0,27.15,True,False,False,False
7,0.2,1004.024,False,False,False,False
1,0.0,9.68,True,False,False,False
9,0.0,28.35,True,False,False,False
1,0.0,55.98,True,False,False,False
13,0.15,1336.829,False,False,False,False
2,0.2,113.568,False,False,False,False
7,0.0,139.86,True,False,True,False
4,0.2,307.136,False,False,True,False
8,0.0,95.92,True,False,False,False
5,0.2,383.8,False,False,False,False
1,0.0,5.78,True,False,True,False
4,0.0,9.32,True,False,True,False
1,0.0,15.25,True,False,True,False
6,0.2,196.752,False,True,False,False
4,0.0,56.56,False,False,True,False
3,0.0,32.7,True,False,True,False
4,0.0,866.4,False,False,False,False
2,0.0,28.4,False,False,True,False
8,0.0,287.92,True,False,True,False
1,0.0,69.99,False,True,False,True
6,0.2,6.672,True,False,True,False
2,0.7,189.588,True,False,False,True
7,0.2,408.744,False,True,False,True
5,0.2,291.96,False,True,False,True
2,0.2,4.768,True,False,False,True
5,0.0,714.3,True,False,False,False
2,0.7,4.812,True,False,False,False
5,0.2,247.8,False,True,False,False
3,0.3,1007.979,False,True,False,True
7,0.2,313.488,True,False,False,True
8,0.2,31.872,True,False,True,False
3,0.1,207.846,False,False,True,False
1,0.0,12.22,False,False,False,False
3,0.0,194.94,True,False,False,False
3,0.0,70.95,True,False,False,False
4,0.0,91.36,True,False,False,False
3,0.0,242.94,False,False,False,False
7,0.0,22.05,True,False,False,False
1,0.0,2.91,False,False,False,False
3,0.0,59.52,True,False,False,False
3,0.0,161.94,True,False,False,False
6,0.0,263.88,True,False,False,False
3,0.0,30.48,True,False,False,False
3,0.0,9.84,True,False,False,False
4,0.0,35.12,False,True,False,False
2,0.4,284.364,False,False,True,False
2,0.2,665.408,True,False,True,False
4,0.0,63.88,False,True,True,False
2,0.2,129.568,False,False,False,False
3,0.3,747.558,False,False,False,False
2,0.2,8.928,True,False,False,False
4,0.0,103.92,True,False,False,False
9,0.0,899.91,False,True,False,False
3,0.2,51.312,True,False,False,False
5,0.2,23.56,False,False,False,True
6,0.5,1272.63,False,False,False,True
5,0.7,28.485,True,False,False,True
2,0.2,185.376,True,False,False,True
2,0.2,78.272,True,False,False,True
7,0.6,254.744,False,False,False,True
2,0.32,205.3328,False,False,True,False
3,0.8,4.788,True,False,False,False
1,0.0,55.48,True,False,True,False
3,0.0,340.92,True,False,False,False
2,0.15,222.666,False,False,False,False
4,0.2,703.968,False,True,False,False
6,0.0,92.52,True,False,False,False
7,0.0,62.65,True,False,False,False
5,0.0,94.85,True,False,False,False
6,0.2,95.76,False,True,True,False
3,0.0,40.2,False,False,False,False
5,0.0,14.7,True,False,True,False
5,0.0,704.25,True,False,True,False
3,0.0,9.09,False,True,False,False
2,0.0,5.96,True,False,False,False
2,0.0,159.98,False,True,False,False
2,0.0,29.6,True,False,False,True
5,0.15,514.165,False,False,False,True
5,0.2,279.96,False,True,False,True
6,0.2,2735.952,False,True,False,False
1,0.2,7.992,False,True,False,True
2,0.2,63.984,False,True,False,True
2,0.2,70.368,True,False,False,True
5,0.0,449.15,True,False,False,False
3,0.0,11.07,True,False,False,False
2,0.0,93.98,False,True,False,False
3,0.4,189.882,False,False,False,False
2,0.0,105.42,True,False,False,False
8,0.2,119.616,True,False,False,False
4,0.0,255.76,False,False,False,False
2,0.2,241.568,False,False,False,False
9,0.0,69.3,False,False,False,False
2,0.7,22.62,True,False,True,False
2,0.7,14.952,True,False,True,False
2,0.2,801.568,False,False,True,False
3,0.7,2.376,True,False,True,False
1,0.2,32.792,True,False,True,False
5,0.2,15.92,True,False,True,False
1,0.0,2.74,True,False,False,False
3,0.0,8.34,True,False,False,False
3,0.0,46.74,True,False,False,False
5,0.0,6354.95,True,False,False,False
3,0.0,126.3,False,False,False,False
2,0.0,38.04,False,True,False,False
3,0.2,7.152,True,False,False,False
3,0.0,6.63,True,False,False,False
2,0.0,5.88,True,False,False,False
5,0.0,2999.95,False,True,False,True
3,0.0,51.45,True,False,False,True
2,0.0,11.96,True,False,False,True
3,0.0,1126.02,True,False,False,True
1,0.2,18.392,False,True,False,False
2,0.2,129.568,True,False,False,False
9,0.8,14.112,True,False,False,False
2,0.0,210.98,False,False,True,False
3,0.2,55.176,False,True,False,False
2,0.0,66.26,False,True,False,False
5,0.0,22.2,True,False,False,False
3,0.2,683.952,False,False,False,True
3,0.2,45.696,False,False,False,True
3,0.2,36.336,True,False,False,False
1,0.2,666.248,True,False,False,False
6,0.2,52.512,True,False,False,False
1,0.2,190.72,False,False,True,False
3,0.0,47.94,False,False,False,False
5,0.0,979.95,False,True,False,False
5,0.0,22.75,True,False,False,False
2,0.2,16.768,True,False,False,False
7,0.8,42.616,True,False,False,False
4,0.2,10.752,True,False,False,True
3,0.0,152.94,True,False,False,False
4,0.0,283.92,False,False,False,False
6,0.0,468.9,False,True,False,False
8,0.2,380.864,False,True,True,False
9,0.2,646.776,True,False,False,False
2,0.2,58.112,False,True,False,False
1,0.2,100.792,False,True,False,False
4,0.6,66.112,False,False,False,False
6,0.2,41.28,True,False,False,True
2,0.0,13.36,True,False,False,True
9,0.2,250.272,True,False,True,False
3,0.8,11.364,True,False,True,False
5,0.2,8.72,True,False,True,False
2,0.2,1121.568,False,False,False,False
1,0.2,34.504,False,False,False,False
3,0.2,10.824,True,False,False,False
2,0.0,1295.78,True,False,True,False
4,0.2,19.456,True,False,False,False
2,0.0,20.7,True,False,False,False
4,0.2,1335.68,False,False,False,False
5,0.0,32.4,True,False,False,False
3,0.0,42.6,False,False,False,False
7,0.2,84.056,True,False,False,False
5,0.2,13.0,True,False,False,False
3,0.2,13.128,False,False,False,False
2,0.0,3.96,True,False,False,False
1,0.0,2.61,True,False,False,False
3,0.2,374.376,False,True,False,False
8,0.0,91.84,True,False,True,False
7,0.2,81.088,True,False,True,False
3,0.0,19.44,True,False,True,False
3,0.2,451.152,False,False,True,False
7,0.0,72.45,True,False,False,False
4,0.0,13.96,True,False,False,False
7,0.2,33.264,True,False,False,False
3,0.0,14.85,False,True,False,False
3,0.0,8.82,True,False,False,False
14,0.0,160.72,True,False,False,False
4,0.0,19.92,True,False,False,False
2,0.0,7.3,True,False,False,False
2,0.2,69.712,True,False,False,False
1,0.6,8.792,False,False,False,False
4,0.0,51.52,True,False,False,False
3,0.2,470.376,False,True,False,False
2,0.2,105.584,False,True,False,False
3,0.2,31.152,True,False,False,False
7,0.7,6.783,True,False,False,False
4,0.2,406.368,False,True,False,False
1,0.0,70.98,False,False,False,False
3,0.0,294.93,True,False,False,False
2,0.2,84.784,False,True,False,False
4,0.2,20.736,True,False,False,False
3,0.7,16.821,True,False,False,False
2,0.2,10.368,True,False,False,False
2,0.2,9.344,True,False,False,False
3,0.2,31.2,False,True,False,False
2,0.0,76.12,True,False,False,False
3,0.2,1199.976,False,True,False,False
5,0.2,445.96,False,True,False,False
8,0.0,327.76,False,False,False,False
2,0.2,11.632,True,False,False,False
3,0.4,143.982,False,True,False,False
4,0.4,494.376,False,True,False,False
2,0.2,5.84,True,False,False,False
1,0.2,142.776,True,False,False,False
3,0.2,45.696,False,False,False,False
3,0.7,7.218,True,False,False,False
4,0.7,43.188,True,False,False,False
3,0.2,131.904,True,False,False,False
2,0.7,3.282,True,False,False,False
9,0.2,21.168,True,False,False,False
2,0.4,55.188,False,True,False,False
3,0.2,369.576,False,True,True,False
4,0.2,15.712,True,False,True,False
2,0.2,8.448,True,False,True,False
9,0.4,728.946,False,True,True,False
10,0.4,119.94,False,True,False,False
2,0.7,3.648,True,False,False,False
2,0.0,40.48,False,False,True,False
2,0.0,9.94,False,False,True,False
9,0.2,107.424,True,False,True,False
1,0.0,37.91,False,True,True,False
3,0.0,88.02,False,False,True,False
5,0.8,8.69,True,False,False,False
2,0.0,301.96,False,False,True,False
5,0.1,555.21,True,False,True,False
4,0.0,523.48,True,False,True,False
9,0.0,161.82,True,False,True,False
7,0.0,35.56,False,False,False,True
2,0.0,97.16,True,False,False,False
5,0.2,15.24,True,False,False,False
3,0.0,13.23,True,False,False,False
3,0.2,243.384,True,False,False,False
5,0.2,119.8,False,True,False,False
4,0.2,300.768,False,True,False,False
3,0.2,17.88,False,True,False,False
3,0.2,235.944,True,False,False,False
3,0.0,392.94,False,False,True,False
3,0.7,18.882,True,False,False,False
3,0.2,122.328,True,False,False,False
5,0.0,1049.2,False,False,False,True
4,0.2,15.424,True,False,False,True
3,0.0,18.84,False,False,True,False
2,0.0,330.4,True,False,False,False
7,0.0,26.25,True,False,False,False
4,0.0,132.52,False,True,False,False
1,0.0,6.48,True,False,False,True
2,0.0,209.3,True,False,False,True
5,0.2,31.56,True,False,True,False
2,0.2,30.144,True,False,True,False
4,0.0,14.8,False,False,True,False
3,0.2,302.376,False,True,True,False
4,0.0,316.0,False,True,True,False
10,0.0,379.4,True,False,False,True
2,0.0,97.82,True,False,True,False
8,0.0,103.12,False,True,True,False
2,0.2,113.552,True,False,False,False
2,0.7,3.318,True,False,False,False
2,0.2,134.288,True,False,False,False
2,0.3,701.372,False,False,False,True
2,0.8,2.308,True,False,False,True
7,0.2,999.432,True,False,False,False
14,0.2,724.08,True,False,False,False
5,0.3,918.785,False,False,False,False
3,0.8,2.724,True,False,False,False
5,0.0,459.95,True,False,True,False
3,0.0,10.74,True,False,False,False
3,0.2,23.76,True,False,True,False
3,0.2,85.056,True,False,True,False
3,0.2,381.576,False,True,True,False
5,0.2,30.36,False,False,False,False
3,0.6,23.976,False,False,False,True
1,0.5,108.925,False,False,False,True
8,0.2,36.352,True,False,False,True
5,0.2,19.56,True,False,False,False
3,0.0,61.44,True,False,False,False
5,0.0,38.9,True,False,False,False
3,0.0,99.39,False,True,False,False
3,0.8,2.688,True,False,False,False
3,0.2,27.816,False,True,False,False
3,0.6,82.524,False,False,False,False
3,0.8,182.994,True,False,False,False
3,0.2,14.352,True,False,False,False
2,0.0,64.96,True,False,False,False
4,0.0,68.6,True,False,False,False
4,0.5,7999.98,False,True,True,False
2,0.2,167.44,True,False,True,False
3,0.0,479.97,False,True,False,False
2,0.0,14.62,True,False,False,False
3,0.0,19.44,True,False,False,False
2,0.2,191.984,False,False,False,False
1,0.0,104.01,False,False,False,False
1,0.0,284.82,False,True,False,False
3,0.0,36.84,True,False,False,False
1,0.0,166.24,False,True,False,False
5,0.0,33.4,True,False,False,False
8,0.2,198.272,True,False,False,True
4,0.2,47.36,True,False,False,True
7,0.2,200.984,True,False,False,True
4,0.2,97.696,True,False,False,True
1,0.2,2.696,True,False,False,True
2,0.7,18.588,True,False,False,True
3,0.7,4.896,True,False,False,True
3,0.2,15.072,False,False,True,False
3,0.0,209.88,False,False,True,False
3,0.2,369.912,False,False,False,False
2,0.2,10.368,True,False,True,False
5,0.2,166.84,True,False,True,False
1,0.2,15.216,False,True,True,False
4,0.0,119.96,False,True,False,False
5,0.2,883.92,False,False,False,False
8,0.2,46.72,True,False,False,False
1,0.0,55.48,True,False,False,True
4,0.2,24.448,True,False,False,False
6,0.0,281.34,True,False,True,False
2,0.0,307.98,False,True,True,False
3,0.0,299.97,False,True,True,False
5,0.2,19.92,True,False,True,False
2,0.0,9.94,False,False,False,False
3,0.2,103.056,False,False,False,False
3,0.2,59.808,True,False,False,True
6,0.0,73.32,False,False,False,True
3,0.0,146.82,True,False,False,True
3,0.0,1652.94,False,False,True,False
3,0.0,296.37,True,False,True,False
5,0.2,129.92,False,False,False,True
7,0.2,45.584,True,False,True,False
2,0.2,17.568,True,False,False,False
1,0.2,55.992,False,True,False,False
8,0.0,182.72,True,False,False,False
2,0.4,400.032,False,False,False,False
3,0.0,33.63,True,False,False,False
3,0.1,542.646,False,False,False,False
2,0.0,6.3,True,False,False,False
3,0.0,242.94,True,False,False,True
3,0.0,179.97,False,True,False,True
6,0.2,99.696,True,False,False,True
4,0.2,27.936,True,False,False,True
1,0.0,84.98,False,False,False,True
5,0.2,18.72,True,False,False,True
2,0.0,49.98,False,True,False,False
3,0.2,11.784,True,False,False,True
3,0.2,272.736,True,False,False,True
2,0.8,3.54,True,False,False,True
5,0.2,51.52,True,False,False,False
1,0.2,3.528,True,False,False,False
1,0.2,4.624,True,False,False,False
4,0.2,55.168,True,False,False,False
10,0.2,567.12,False,False,True,False
4,0.0,359.32,True,False,True,False
1,0.2,11.992,False,True,False,False
3,0.0,58.05,True,False,False,False
11,0.0,157.74,False,False,False,False
7,0.0,56.98,True,False,False,False
1,0.0,2.88,True,False,False,False
3,0.2,1199.976,False,True,True,False
4,0.0,79.92,False,False,False,False
4,0.45,383.438,False,False,True,False
2,0.0,24.56,True,False,False,False
4,0.0,119.8,False,True,False,False
3,0.2,13.128,True,False,True,False
4,0.0,22.72,True,False,True,False
9,0.0,58.32,True,False,False,False
3,0.0,12.39,True,False,True,False
3,0.4,107.982,False,True,False,False
2,0.0,11.36,True,False,True,False
3,0.0,50.94,True,False,True,False
6,0.0,646.74,False,True,True,False
3,0.0,5.64,True,False,True,False
6,0.0,572.58,True,False,True,False
2,0.2,310.88,False,False,True,False
